id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_lab,jumlah_lab,satuan,tahun
240,32,JAWA BARAT,3273,KOTA BANDUNG,RUSAK TOTAL,0,UNIT,2018/2019
241,32,JAWA BARAT,3274,KOTA CIREBON,BAIK,1,UNIT,2018/2019
242,32,JAWA BARAT,3274,KOTA CIREBON,RUSAK RINGAN,1,UNIT,2018/2019
243,32,JAWA BARAT,3274,KOTA CIREBON,RUSAK SEDANG,0,UNIT,2018/2019
244,32,JAWA BARAT,3274,KOTA CIREBON,RUSAK BERAT,0,UNIT,2018/2019
245,32,JAWA BARAT,3274,KOTA CIREBON,RUSAK TOTAL,0,UNIT,2018/2019
246,32,JAWA BARAT,3275,KOTA BEKASI,BAIK,8,UNIT,2018/2019
247,32,JAWA BARAT,3275,KOTA BEKASI,RUSAK RINGAN,7,UNIT,2018/2019
248,32,JAWA BARAT,3275,KOTA BEKASI,RUSAK SEDANG,0,UNIT,2018/2019
249,32,JAWA BARAT,3275,KOTA BEKASI,RUSAK BERAT,1,UNIT,2018/2019
250,32,JAWA BARAT,3275,KOTA BEKASI,RUSAK TOTAL,1,UNIT,2018/2019
251,32,JAWA BARAT,3276,KOTA DEPOK,BAIK,4,UNIT,2018/2019
252,32,JAWA BARAT,3276,KOTA DEPOK,RUSAK RINGAN,7,UNIT,2018/2019
253,32,JAWA BARAT,3276,KOTA DEPOK,RUSAK SEDANG,0,UNIT,2018/2019
254,32,JAWA BARAT,3276,KOTA DEPOK,RUSAK BERAT,0,UNIT,2018/2019
255,32,JAWA BARAT,3276,KOTA DEPOK,RUSAK TOTAL,0,UNIT,2018/2019
256,32,JAWA BARAT,3277,KOTA CIMAHI,BAIK,1,UNIT,2018/2019
257,32,JAWA BARAT,3277,KOTA CIMAHI,RUSAK RINGAN,0,UNIT,2018/2019
258,32,JAWA BARAT,3277,KOTA CIMAHI,RUSAK SEDANG,0,UNIT,2018/2019
259,32,JAWA BARAT,3277,KOTA CIMAHI,RUSAK BERAT,0,UNIT,2018/2019
260,32,JAWA BARAT,3277,KOTA CIMAHI,RUSAK TOTAL,0,UNIT,2018/2019
